证监会行业门类代码_Csrciccd1,证监会行业门类名称_Csrcicnm1,日期_Date,Alpha_流通市值加权_Alpha_tmv,市场溢酬因子,R方_流通市值加权_R2_tmv,调整R方_流通市值加权_R2adj_tmv,Alpha_总市值加权_Alpha_mc,风险因子_总市值加权_Beta_mc,R方_总市值加权_R2_mc,调整R方_总市值加权_R2adj_mc
S,综合,2010/12/31,0.00051002,1.1239,0.839426,0.838757,0.00063019,1.1068,0.831282,0.830579
S,综合,2011/12/30,-0.00030595,1.2714,0.897778,0.897355,-0.00025732,1.2412,0.909066,0.90869
S,综合,2012/12/31,-0.00001799,1.3185,0.889791,0.889334,0.00006573,1.2925,0.893007,0.892563
S,综合,2013/12/31,0.00057906,1.1642,0.677649,0.676284,0.00026503,1.1332,0.593513,0.59179
S,综合,2014/12/31,-0.0003671,1.0821,0.596491,0.59483,-0.00045911,1.0899,0.606817,0.605199
S,综合,2015/12/31,0.0016871,1.2804,0.77647,0.775546,0.00141031,1.2726,0.800625,0.799801
S,综合,2016/12/30,-0.00045618,1.3734,0.893196,0.892754,-0.00055673,1.3325,0.903717,0.903319
S,综合,2017/12/29,-0.00178594,1.3288,0.614521,0.612928,-0.00175461,1.2777,0.66051,0.659107
S,综合,2018/12/28,0.00001607,1.1829,0.561435,0.559615,-0.00010442,1.1623,0.607108,0.605478
S,综合,2019/12/31,-0.00037251,1.2538,0.609906,0.608294,-0.00046685,1.2163,0.653038,0.651604
S,综合,2020/12/31,-0.00175204,0.947,0.690716,0.689432,-0.00184078,0.9239,0.707919,0.706707
S,综合,2021/12/31,0.00150295,0.9975,0.166206,0.162746,0.00150744,0.987,0.170029,0.166585
