证监会行业门类代码_Csrciccd1,证监会行业门类名称_Csrcicnm1,日期_Date,Alpha_流通市值加权_Alpha_tmv,市场溢酬因子,R方_流通市值加权_R2_tmv,调整R方_流通市值加权_R2adj_tmv,Alpha_总市值加权_Alpha_mc,风险因子_总市值加权_Beta_mc,R方_总市值加权_R2_mc,调整R方_总市值加权_R2adj_mc
E,建筑业,2011/12/30,-0.00058158,1.0567,0.873301,0.872777,-0.00048499,1.0154,0.883343,0.882861
E,建筑业,2012/12/31,0.00085477,1.1173,0.853344,0.852735,0.00069001,1.1045,0.866326,0.865771
E,建筑业,2013/12/31,-0.00055887,1.1329,0.815358,0.814576,-0.00059922,1.1147,0.828533,0.827806
E,建筑业,2014/12/31,0.00107403,1.1295,0.544763,0.54289,0.001273,1.1101,0.521352,0.519383
E,建筑业,2015/12/31,-0.00050357,1.1225,0.745147,0.744094,-0.00059298,1.103,0.745333,0.74428
E,建筑业,2016/12/30,0.00066805,1.1449,0.799935,0.799108,0.00067927,1.1118,0.81962,0.818874
E,建筑业,2017/12/29,-0.00052283,1.0177,0.432732,0.430388,-0.00053184,1.0082,0.501679,0.49962
E,建筑业,2018/12/28,-4.20E-07,0.9434,0.664641,0.663249,-0.00006537,0.929,0.691158,0.689877
E,建筑业,2019/12/31,-0.00117442,0.9977,0.824089,0.823363,-0.00116387,0.9902,0.826499,0.825782
E,建筑业,2020/12/31,-0.00106814,0.8772,0.628346,0.626804,-0.0011641,0.8696,0.629049,0.62751
E,建筑业,2021/12/31,0.00064687,0.5565,0.191439,0.188084,0.00064425,0.5411,0.183578,0.18019
F,批发和零售业,2010/12/31,0.00044469,1.0317,0.810955,0.810168,0.00056337,1.016,0.798695,0.797856
F,批发和零售业,2011/12/30,-0.0004783,1.074,0.891042,0.890592,-0.00039432,1.0373,0.901238,0.90083
F,批发和零售业,2012/12/31,-0.00054975,1.2022,0.893939,0.893499,-0.00061253,1.1736,0.907689,0.907306
F,批发和零售业,2013/12/31,0.00086672,1.1346,0.777266,0.776322,0.00069519,1.1083,0.797643,0.796785
F,批发和零售业,2014/12/31,-0.0006752,1.0062,0.70333,0.702109,-0.00067506,1.0291,0.740598,0.739531
F,批发和零售业,2015/12/31,0.00079741,1.2252,0.866551,0.865999,0.00071364,1.2124,0.883233,0.88275
F,批发和零售业,2016/12/30,-0.00004956,1.186,0.953514,0.953322,-0.00017676,1.1438,0.959611,0.959444
F,批发和零售业,2017/12/29,-0.00076309,1.2006,0.733461,0.73236,-0.00066255,1.1711,0.791382,0.79052
F,批发和零售业,2018/12/28,-0.00043372,1.0446,0.845573,0.844933,-0.00036664,1.0504,0.87144,0.870906
F,批发和零售业,2019/12/31,-0.00055521,1.011,0.891037,0.890587,-0.00051778,0.9968,0.898266,0.897846
F,批发和零售业,2020/12/31,-0.00059974,0.9065,0.804928,0.804118,-0.00056898,0.9053,0.802682,0.801863
F,批发和零售业,2021/12/31,-0.00023278,0.6825,0.50105,0.498979,-0.00027224,0.6607,0.484403,0.482263
G,交通运输、仓储和邮政业,2010/12/31,-0.00010473,1.036,0.86093,0.860351,-0.00000367,1.0662,0.87022,0.869679
G,交通运输、仓储和邮政业,2011/12/30,-0.00052237,0.999,0.87681,0.876301,-0.00044278,0.9797,0.873606,0.873084
G,交通运输、仓储和邮政业,2012/12/31,-0.00026477,0.8892,0.877105,0.876595,-0.00022125,0.8607,0.868567,0.868022
G,交通运输、仓储和邮政业,2013/12/31,0.00042562,0.9541,0.60678,0.605113,0.00032301,0.9295,0.591867,0.590138
G,交通运输、仓储和邮政业,2014/12/31,0.00043824,1.005,0.574156,0.572404,0.00043805,1.0104,0.586171,0.584468
G,交通运输、仓储和邮政业,2015/12/31,-0.00014533,1.1202,0.849591,0.848969,-0.00016668,1.1008,0.857615,0.857027
G,交通运输、仓储和邮政业,2016/12/30,-0.00043823,0.9822,0.900801,0.900392,-0.00046491,0.9467,0.899209,0.898792
G,交通运输、仓储和邮政业,2017/12/29,0.0002317,0.9125,0.525349,0.523388,0.00021835,0.915,0.558404,0.556579
G,交通运输、仓储和邮政业,2018/12/28,-0.0002902,0.9035,0.839386,0.838719,-0.00024084,0.8976,0.861984,0.861411
G,交通运输、仓储和邮政业,2019/12/31,-0.00029109,0.9679,0.820885,0.820145,-0.00032759,0.9339,0.843025,0.842376
G,交通运输、仓储和邮政业,2020/12/31,-0.00040016,0.8072,0.73784,0.736753,-0.00056673,0.8016,0.753167,0.752143
G,交通运输、仓储和邮政业,2021/12/31,0.00003836,0.692,0.401363,0.398879,-0.00001748,0.6533,0.388728,0.386192
H,住宿和餐饮业,2010/12/31,0.00037765,0.995,0.586699,0.584977,0.0003237,0.991,0.611691,0.610073
H,住宿和餐饮业,2011/12/30,-0.00044836,1.0334,0.749758,0.748724,-0.00042062,1.0348,0.770347,0.769398
H,住宿和餐饮业,2012/12/31,-0.0000089,0.9704,0.744122,0.74306,0.00006642,0.9726,0.750968,0.749935
H,住宿和餐饮业,2013/12/31,0.00067258,0.9741,0.546103,0.544179,0.00060169,0.9706,0.564476,0.562631
H,住宿和餐饮业,2014/12/31,0.00002034,0.8188,0.36763,0.365028,0.00030875,0.8456,0.390018,0.387508
H,住宿和餐饮业,2015/12/31,0.0028096,1.0508,0.675661,0.67432,0.00309838,1.028,0.676902,0.675567
H,住宿和餐饮业,2016/12/30,-0.00066113,1.1019,0.783972,0.78308,-0.00082041,1.0814,0.777725,0.776807
H,住宿和餐饮业,2017/12/29,-0.00125812,1.1948,0.449751,0.447477,-0.00067252,1.1237,0.40618,0.403726
