指数代码_IdxCd,交易日期_TrdDt,收盘价(元/点)_ClPr
000001,2010-10-13,2861.361
000001,2010-10-14,2879.636
000001,2010-10-15,2971.16
000001,2010-10-18,2955.227
000001,2010-10-19,3001.853
000001,2010-10-20,3003.951
000001,2010-10-21,2983.533
000001,2010-10-22,2975.043
000001,2010-10-25,3051.419
000001,2010-10-26,3041.543
000001,2010-10-27,2997.048
000001,2010-10-28,2992.579
000001,2010-10-29,2978.835
000001,2010-11-01,3054.021
000001,2010-11-02,3045.434
000001,2010-11-03,3030.988
000001,2010-11-04,3086.939
000001,2010-11-05,3129.497
000001,2010-11-08,3159.512
000001,2010-11-09,3135
000001,2010-11-10,3115.356
000001,2010-11-11,3147.744
000001,2010-11-12,2985.435
000001,2010-11-15,3014.413
000001,2010-11-16,2894.538
000001,2010-11-17,2838.857
000001,2010-11-18,2865.452
000001,2010-11-19,2888.566
000001,2010-11-22,2884.371
000001,2010-11-23,2828.282
000001,2010-11-24,2859.936
000001,2010-11-25,2898.261
000001,2010-11-26,2871.698
000001,2010-11-29,2866.356
000001,2010-11-30,2820.181
000001,2010-12-01,2823.449
000001,2010-12-02,2843.607
000001,2010-12-03,2842.431
000001,2010-12-06,2857.178
000001,2010-12-07,2875.861
000001,2010-12-08,2848.546
000001,2010-12-09,2810.949
000001,2010-12-10,2841.04
000001,2010-12-13,2922.954
000001,2010-12-14,2927.077
000001,2010-12-15,2911.414
000001,2010-12-16,2898.138
000001,2010-12-17,2893.74
000001,2010-12-20,2852.916
000001,2010-12-21,2904.115
000001,2010-12-22,2877.9
000001,2010-12-23,2855.22
000001,2010-12-24,2835.157
000001,2010-12-27,2781.402
000001,2010-12-28,2732.99
000001,2010-12-29,2751.527
000001,2010-12-30,2759.575
000001,2010-12-31,2808.077
000001,2011-01-04,2852.648
000001,2011-01-05,2838.593
000001,2011-01-06,2824.197
000001,2011-01-07,2838.801
000001,2011-01-10,2791.809
000001,2011-01-11,2804.047
000001,2011-01-12,2821.305
000001,2011-01-13,2827.713
000001,2011-01-14,2791.344
000001,2011-01-17,2706.66
000001,2011-01-18,2708.979
000001,2011-01-19,2758.097
000001,2011-01-20,2677.652
000001,2011-01-21,2715.294
000001,2011-01-24,2695.72
000001,2011-01-25,2677.432
000001,2011-01-26,2708.814
000001,2011-01-27,2749.15
000001,2011-01-28,2752.75
000001,2011-01-31,2790.694
000001,2011-02-01,2798.96
000001,2011-02-09,2774.065
000001,2011-02-10,2818.163
000001,2011-02-11,2827.328
000001,2011-02-14,2899.134
000001,2011-02-15,2899.237
000001,2011-02-16,2923.896
000001,2011-02-17,2926.964
000001,2011-02-18,2899.792
000001,2011-02-21,2932.246
000001,2011-02-22,2855.516
000001,2011-02-23,2862.634
000001,2011-02-24,2878.603
000001,2011-02-25,2878.565
000001,2011-02-28,2905.053
000001,2011-03-01,2918.92
000001,2011-03-02,2913.808
000001,2011-03-03,2902.978
000001,2011-03-04,2942.306
000001,2011-03-07,2996.211
000001,2011-03-08,2999.942
000001,2011-03-09,3002.154
000001,2011-03-10,2957.143
000001,2011-03-11,2933.796
000001,2011-03-14,2937.627
000001,2011-03-15,2896.256
000001,2011-03-16,2930.804
000001,2011-03-17,2897.298
000001,2011-03-18,2906.886
000001,2011-03-21,2909.137
000001,2011-03-22,2919.142
000001,2011-03-23,2948.477
000001,2011-03-24,2946.706
000001,2011-03-25,2977.814
000001,2011-03-28,2984.005
000001,2011-03-29,2958.077
000001,2011-03-30,2955.771
000001,2011-03-31,2928.111
000001,2011-04-01,2967.41
000001,2011-04-06,3001.36
000001,2011-04-07,3007.909
000001,2011-04-08,3030.021
000001,2011-04-11,3022.746
000001,2011-04-12,3021.369
000001,2011-04-13,3050.398
000001,2011-04-14,3042.635
000001,2011-04-15,3050.526
000001,2011-04-18,3057.329
000001,2011-04-19,2999.041
000001,2011-04-20,3007.037
000001,2011-04-21,3026.668
000001,2011-04-22,3010.517
000001,2011-04-25,2964.951
000001,2011-04-26,2938.981
000001,2011-04-27,2925.408
000001,2011-04-28,2887.044
000001,2011-04-29,2911.511
000001,2011-05-03,2932.188
000001,2011-05-04,2866.017
000001,2011-05-05,2872.404
000001,2011-05-06,2863.886
000001,2011-05-09,2872.46
000001,2011-05-10,2890.634
000001,2011-05-11,2883.42
000001,2011-05-12,2844.083
000001,2011-05-13,2871.031
000001,2011-05-16,2849.067
000001,2011-05-17,2852.773
000001,2011-05-18,2872.771
000001,2011-05-19,2859.574
000001,2011-05-20,2858.459
000001,2011-05-23,2774.569
000001,2011-05-24,2767.056
000001,2011-05-25,2741.741
000001,2011-05-26,2736.527
000001,2011-05-27,2709.947
000001,2011-05-30,2706.361
000001,2011-05-31,2743.472
000001,2011-06-01,2743.572
000001,2011-06-02,2705.181
000001,2011-06-03,2728.02
000001,2011-06-07,2744.3
000001,2011-06-08,2750.288
000001,2011-06-09,2703.345
000001,2011-06-10,2705.143
000001,2011-06-13,2700.379
000001,2011-06-14,2730.04
000001,2011-06-15,2705.431
000001,2011-06-16,2664.283
000001,2011-06-17,2642.818
000001,2011-06-20,2621.253
000001,2011-06-21,2646.483
000001,2011-06-22,2649.321
000001,2011-06-23,2688.249
000001,2011-06-24,2746.211
000001,2011-06-27,2758.23
000001,2011-06-28,2759.202
000001,2011-06-29,2728.483
000001,2011-06-30,2762.076
000001,2011-07-01,2759.362
000001,2011-07-04,2812.818
000001,2011-07-05,2816.355
000001,2011-07-06,2810.479
000001,2011-07-07,2794.267
000001,2011-07-08,2797.774
000001,2011-07-11,2802.692
000001,2011-07-12,2754.582
000001,2011-07-13,2795.476
000001,2011-07-14,2810.444
000001,2011-07-15,2820.169
000001,2011-07-18,2816.688
000001,2011-07-19,2796.983
000001,2011-07-20,2794.205
000001,2011-07-21,2765.894
000001,2011-07-22,2770.79
000001,2011-07-25,2688.746
000001,2011-07-26,2703.026
000001,2011-07-27,2723.492
000001,2011-07-28,2708.777
000001,2011-07-29,2701.729
000001,2011-08-01,2703.783
000001,2011-08-02,2679.259
000001,2011-08-03,2678.485
000001,2011-08-04,2684.039
000001,2011-08-05,2626.423
000001,2011-08-08,2526.816
000001,2011-08-09,2526.07
000001,2011-08-10,2549.176
000001,2011-08-11,2581.508
000001,2011-08-12,2593.173
000001,2011-08-15,2626.77
000001,2011-08-16,2608.166
000001,2011-08-17,2601.261
000001,2011-08-18,2559.472
000001,2011-08-19,2534.358
000001,2011-08-22,2515.863
000001,2011-08-23,2554.019
000001,2011-08-24,2541.091
000001,2011-08-25,2615.261
000001,2011-08-26,2612.188
000001,2011-08-29,2576.413
000001,2011-08-30,2566.595
000001,2011-08-31,2567.34
000001,2011-09-01,2556.042
000001,2011-09-02,2528.28
000001,2011-09-05,2478.739
000001,2011-09-06,2470.524
000001,2011-09-07,2516.09
000001,2011-09-08,2498.943
000001,2011-09-09,2497.753
000001,2011-09-13,2471.305
