,交易日期_TrdDt,指数代码_IdxCd,收盘价(元/点)_ClPr
196,2018-05-31,300,3802.3759
197,2018-06-30,300,3510.9845
198,2018-07-31,300,3517.6568
199,2018-08-31,300,3334.5036
200,2018-09-30,300,3438.8649
201,2018-10-31,300,3153.8234
202,2018-11-30,300,3172.69
203,2018-12-31,300,3010.6536
204,2019-01-31,300,3201.6331
205,2019-02-28,300,3669.3703
206,2019-03-31,300,3872.3412
207,2019-04-30,300,3913.211
208,2019-05-31,300,3629.7893
209,2019-06-30,300,3825.5873
210,2019-07-31,300,3835.3589
211,2019-08-31,300,3799.5863
212,2019-09-30,300,3814.5282
213,2019-10-31,300,3886.7519
214,2019-11-30,300,3828.6706
215,2019-12-31,300,4096.5821
216,2020-01-31,300,4003.9013
217,2020-02-29,300,3940.0488
218,2020-03-31,300,3686.1551
219,2020-04-30,300,3912.5772
220,2020-05-31,300,3867.0232
221,2020-06-30,300,4163.9637
222,2020-07-31,300,4695.0462
223,2020-08-31,300,4816.2153
224,2020-09-30,300,4587.3953
225,2020-10-31,300,4695.3338
226,2020-11-30,300,4960.2519
227,2020-12-31,300,5211.2885
228,2021-01-31,300,5351.9646
229,2021-02-28,300,5336.7609
230,2021-03-31,300,5048.3607
231,2021-04-30,300,5123.489
232,2021-05-31,300,5331.5696
233,2021-06-30,300,5224.041
234,2021-07-31,300,4811.1695
235,2021-08-31,300,4805.6099
236,2021-09-30,300,4866.3826
237,2021-10-31,300,4908.7701
238,2021-11-30,300,4832.026
239,2021-12-31,300,4940.3733
