,return,VaR_RM,VaR_GN,VaR_HS,VaR_EVT
102,-0.43080303568912015,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0
104,-0.10799137118620017,0.0,0.0,0.0,0.0
105,-0.32467560988700406,0.0,0.0,0.0,0.0
106,0.21656749124971952,0.0,0.0,0.0,0.0
107,-0.16238163243271764,0.0,0.0,0.0,0.0
108,0.16238163243271764,0.0,0.0,0.0,0.0
109,-0.3250273717301688,0.0,0.0,0.0,0.0
110,0.270929453180635,0.0,0.0,0.0,0.0
111,-0.32520353863771945,0.0,0.0,0.0,0.0
112,-0.21739138996199614,0.0,0.0,0.0,0.0
113,0.2716654754190806,0.0,0.0,0.0,0.0
114,0.3250273717301688,0.0,0.0,0.0,0.0
115,0.32397436544107094,0.0,0.0,0.0,0.0
116,-0.3780722839906048,0.0,0.0,0.0,0.0
117,0.3780722839906048,0.0,0.0,0.0,0.0
118,0.3229281600715339,0.0,0.0,0.0,0.0
119,0.2147075435665169,0.0,0.0,0.0,0.0
120,0.48141307204514483,0.0,0.0,0.0,0.0
121,-0.32068440095796014,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0
123,0.16047074853018373,0.0,0.0,0.0,0.0
124,0.10683761699987748,0.0,0.0,0.0,0.0
125,0.2665957324119894,0.0,0.0,0.0,0.0
126,-0.42689499195760483,0.0,0.0,0.0,0.0
127,-0.2677377770716305,0.0,0.0,0.0,0.0
128,-0.05363368323796358,0.0,0.0,0.0,0.0
129,0.21436235432514827,0.0,0.0,0.0,0.0
130,-0.21436235432514827,0.0,0.0,0.0,0.0
131,-0.05366246439479916,0.0,0.0,0.0,0.0
132,0.16090108057009722,0.0,0.0,0.0,0.0
133,0.26759448668003394,0.0,0.0,0.0,0.0
134,0.3734333494118669,0.0,0.0,0.0,0.0
135,-0.05326231816993321,0.0,0.0,0.0,0.0
136,0.15970192374861192,0.0,0.0,0.0,0.0
137,0.10632643213299708,0.0,0.0,0.0,0.0
138,-0.10632643213299708,0.0,0.0,0.0,0.0
139,0.10632643213299708,0.0,0.0,0.0,0.0
140,-0.10632643213299708,0.0,0.0,0.0,0.0
141,-0.21299262578251543,0.0,0.0,0.0,0.0
142,-0.1600427122081527,0.0,0.0,0.0,0.0
143,0.05337603542789893,0.0,0.0,0.0,0.0
144,-0.05337603542789893,0.0,0.0,0.0,0.0
145,0.1600427122081527,0.0,0.0,0.0,0.0
146,-0.2668803292080302,0.0,0.0,0.0,0.0
147,0.1602136524277764,0.0,0.0,0.0,0.0
148,-0.21367529497351434,0.0,0.0,0.0,0.0
149,-0.2677377770716305,0.0,0.0,0.0,0.0
150,-0.16098742409034195,0.0,0.0,0.0,0.0
151,0.21459235702767643,0.0,0.0,0.0,0.0
152,-0.3758393685845185,0.0,0.0,0.0,0.0
153,-0.7559431246816573,0.0,0.0,0.0,0.0
154,-0.43454712595019096,0.0,0.0,0.0,0.0
155,-0.3271540540615181,0.0,0.0,0.0,0.0
156,0.10917031651942466,0.0,0.0,0.0,0.0
157,0.32679767646164315,0.0,0.0,0.0,0.0
158,0.1629992210931075,0.0,0.0,0.0,0.0
159,0.10851873012871494,0.0,0.0,0.0,0.0
160,-0.10851873012871494,0.0,0.0,0.0,0.0
161,-0.2718131600126572,0.0,0.0,0.0,0.0
162,0.05442177005066107,0.0,0.0,0.0,0.0
163,-0.05442177005066107,0.0,0.0,0.0,0.0
164,0.2718131600126572,0.0,0.0,0.0,0.0
165,0.2710763383987569,0.0,0.0,0.0,0.0
166,-0.37971295962084817,0.0,0.0,0.0,0.0
167,0.05433306300464125,0.0,0.0,0.0,0.0
168,0.10857764367453449,0.0,0.0,0.0,0.0
169,-0.2716654754190806,0.0,0.0,0.0,0.0
170,0.1630878317445461,0.0,0.0,0.0,0.0
171,0.10857764367453449,0.0,0.0,0.0,0.0
172,-0.32608724546974166,0.0,0.0,0.0,0.0
173,0.05442177005066107,0.0,0.0,0.0,0.0
174,0.10875476873990486,0.0,0.0,0.0,0.0
175,-0.27210901143606137,0.0,0.0,0.0,0.0
176,0.1633542426961565,0.0,0.0,0.0,0.0
177,0.10875476873990486,0.0,0.0,0.0,0.0
178,0.3255564459766269,0.0,0.0,0.0,0.0
179,0.27048975107000217,0.0,0.0,0.0,0.0
180,-0.10810811863728453,0.0,0.0,0.0,0.0
181,0.4317329965580985,0.0,0.0,0.0,0.0
182,-0.053864800656011624,0.0,0.0,0.0,0.0
183,-0.16176870607860216,0.0,0.0,0.0,0.0
184,0.053951984044076085,0.0,0.0,0.0,0.0
